filename,labels
img0.png,0
img1.png,1
img2.png,1
img3.png,1
img4.png,1
img5.png,1
img6.png,1
img7.png,2
img8.png,1
img9.png,0
img10.png,0
img11.png,1
img12.png,1
img13.png,2
img14.png,1
img15.png,1
img16.png,1
img17.png,1
img18.png,3
img19.png,2
img20.png,2
img21.png,0
img22.png,3
img23.png,1
img24.png,0
img25.png,1
img26.png,1
img27.png,1
img28.png,2
img29.png,1
img30.png,1
img31.png,1
img32.png,1
img33.png,0
img34.png,3
img35.png,2
img36.png,1
img37.png,1
img38.png,1
img39.png,1
img40.png,1
img41.png,1
img42.png,1
img43.png,1
img44.png,1
img45.png,1
img46.png,1
img47.png,0
img48.png,0
img49.png,1
img50.png,1
img51.png,1
img52.png,1
img53.png,1
img54.png,2
img55.png,1
img56.png,0
img57.png,1
img58.png,1
img59.png,1
img60.png,3
img61.png,3
img62.png,1
img63.png,1
img64.png,1
img65.png,1
img66.png,2
img67.png,0
img68.png,3
img69.png,1
img70.png,1
img71.png,1
img72.png,1
img73.png,3
img74.png,3
img75.png,1
img76.png,1
img77.png,2
img78.png,0
img79.png,3
img80.png,1
img81.png,1
img82.png,2
img83.png,3
img84.png,1
img85.png,2
img86.png,1
img87.png,1
img88.png,1
img89.png,1
img90.png,2
img91.png,3
img92.png,1
img93.png,1
img94.png,1
img95.png,1
img96.png,0
img97.png,1
img98.png,1
img99.png,1
img100.png,0
img101.png,1
img102.png,0
img103.png,1
img104.png,1
img105.png,1
img106.png,1
img107.png,1
img108.png,1
img109.png,2
img110.png,2
img111.png,1
img112.png,2
img113.png,0
img114.png,0
img115.png,1
img116.png,1
img117.png,2
img118.png,1
img119.png,1
img120.png,1
img121.png,1
img122.png,1
img123.png,0
img124.png,1
img125.png,1
img126.png,3
img127.png,2
img128.png,0
img129.png,1
img130.png,0
img131.png,2
img132.png,0
img133.png,0
img134.png,1
img135.png,0
img136.png,2
img137.png,1
img138.png,1
img139.png,1
img140.png,1
img141.png,2
img142.png,0
img143.png,1
img144.png,0
img145.png,2
img146.png,0
img147.png,1
img148.png,1
img149.png,1
img150.png,0
img151.png,2
img152.png,2
img153.png,3
img154.png,1
img155.png,3
img156.png,1
img157.png,1
img158.png,0
img159.png,1
img160.png,1
img161.png,1
img162.png,1
img163.png,3
img164.png,2
img165.png,2
img166.png,2
img167.png,2
img168.png,1
img169.png,0
img170.png,1
img171.png,1
img172.png,1
img173.png,2
img174.png,2
img175.png,0
img176.png,2
img177.png,1
img178.png,1
img179.png,1
img180.png,1
img181.png,2
img182.png,2
img183.png,0
img184.png,0
img185.png,1
img186.png,1
img187.png,1
img188.png,1
img189.png,2
img190.png,1
img191.png,3
img192.png,3
img193.png,2
img194.png,1
img195.png,1
img196.png,1
img197.png,1
img198.png,1
img199.png,2
img200.png,1
img201.png,2
img202.png,3
img203.png,2
img204.png,3
img205.png,1
img206.png,0
img207.png,0
img208.png,1
img209.png,3
img210.png,2
img211.png,1
img212.png,1
img213.png,1
img214.png,1
img215.png,1
img216.png,1
img217.png,1
img218.png,1
img219.png,1
img220.png,1
img221.png,1
img222.png,1
img223.png,1
img224.png,1
img225.png,3
img226.png,3
img227.png,1
img228.png,0
img229.png,0
img230.png,0
img231.png,2
img232.png,2
img233.png,1
img234.png,1
img235.png,3
img236.png,1
img237.png,1
img238.png,1
img239.png,1
img240.png,1
img241.png,1
img242.png,2
img243.png,2
img244.png,0
img245.png,0
img246.png,1
img247.png,1
img248.png,1
img249.png,2
img250.png,2
img251.png,1
img252.png,3
img253.png,1
img254.png,1
img255.png,1
img256.png,0
img257.png,1
img258.png,1
img259.png,0
img260.png,2
img261.png,3
img262.png,1
img263.png,1
img264.png,1
img265.png,1
img266.png,1
img267.png,2
img268.png,1
img269.png,2
img270.png,1
